metric,value,unit,notes
MoMo MAU (m),63.2,m,H1-2025 reported
Transaction value growth (CC %),45.4,%,H1-2025
Advanced fintech growth (CC %),42.0,%,Advanced services growth
Advanced fintech share of MoMo rev (ex-airtime),33.4,%,Share of MoMo rev ex-airtime advances
MoMo transaction value (Rbn equivalent),180.0,R bn,Illustrative conversion estimate; see sources for opco values
